Date,Platform,Campaign Name,Impressions,Clicks,Spend,Conversions,Revenue
2023-06-01,Instagram,New Product Launch,167828,3469,44605,71,102382
2023-06-02,Instagram,Clearance Sale,183016,4168,36312,283,450819
2023-06-03,Facebook,Summer Sale,153078,2196,39549,280,270200
2023-06-04,Instagram,Summer Sale,21433,1796,16595,149,255833
2023-06-05,Facebook,New Product Launch,120933,1567,4757,222,95682
2023-06-06,Instagram,Brand Awareness,73083,4682,37887,295,368750
2023-06-07,Instagram,Festive Offer,27064,1178,8698,6,9678
2023-06-08,Facebook,Brand Awareness,5487,2081,2941,86,56588
2023-06-09,Instagram,New Product Launch,184317,1912,43297,251,378508
2023-06-10,Instagram,Festive Offer,179556,2079,16587,252,307440
2023-06-11,Facebook,Brand Awareness,131246,2932,19503,420,298620
2023-06-12,Instagram,Clearance Sale,84554,622,48553,454,219736
2023-06-13,Instagram,Festive Offer,88943,1566,7324,192,315264
2023-06-14,Facebook,New Product Launch,8069,955,30180,261,285534
2023-06-15,Facebook,Summer Sale,107844,3842,41591,203,213556
2023-06-16,Instagram,Festive Offer,198142,2595,47904,407,151404
2023-06-17,Facebook,Brand Awareness,104644,2657,1226,421,691282
2023-06-18,Facebook,New Product Launch,187625,2258,44810,426,436224
2023-06-19,Facebook,Brand Awareness,99400,1379,31596,398,629636
2023-06-20,Facebook,Summer Sale,63212,1538,4821,207,263718
2023-06-21,Facebook,Brand Awareness,109514,1845,35063,172,252840
2023-06-22,Instagram,Brand Awareness,146320,4533,33359,492,747348
2023-06-23,Facebook,Brand Awareness,41723,4939,36830,41,29315
2023-06-24,Facebook,Clearance Sale,167893,2290,12920,464,255664
2023-06-25,Instagram,Brand Awareness,186942,944,29570,11,9757
2023-06-26,Instagram,Summer Sale,142063,3066,20895,26,22308
2023-06-27,Facebook,Summer Sale,10141,4346,44375,338,394446
2023-06-28,Facebook,Festive Offer,141897,4613,30869,369,636525
2023-06-29,Instagram,Summer Sale,45404,4318,38105,324,441612
2023-06-30,Facebook,New Product Launch,39104,3117,15304,140,173880
2023-07-01,Facebook,Festive Offer,68263,4780,39014,130,63830
2023-07-02,Instagram,Festive Offer,187314,2082,32601,210,202020
2023-07-03,Facebook,Brand Awareness,48636,2647,48209,162,105300
2023-07-04,Facebook,New Product Launch,48022,2545,44419,323,210273
2023-07-05,Facebook,New Product Launch,61555,2255,24664,398,482774
2023-07-06,Instagram,Summer Sale,55252,3168,40245,214,272208
2023-07-07,Instagram,Summer Sale,99616,630,18393,44,85008
2023-07-08,Facebook,New Product Launch,180573,3269,37872,191,323554
2023-07-09,Instagram,Summer Sale,164057,4078,16186,24,45936
2023-07-10,Instagram,New Product Launch,24888,1870,41248,114,59622
2023-07-11,Instagram,Festive Offer,183185,4417,21001,421,769167
